,code,class,name,market_cap,reg_day,per
590,A500011,kospi,신한 달러인덱스 선물 ETN(H),103,-,-
591,A570053,kospi,TRUE 인버스 플래티넘 선물 ETN,104,-,-
592,A252650,kospi,KODEX 200동일가중,97,-,-
593,A261070,kospi,TIGER 코스닥150바이오테크,97,-,-
594,A270810,kospi,KBSTAR 코스닥150,1713,-,-
595,A336040,,이도바이오,472,20191202,-
596,A102780,kospi,KODEX 삼성그룹,18361,-,-
597,A253160,kospi,ARIRANG 200선물인버스2X,150,-,-
598,A253230,kospi,KOSEF 200선물인버스2X,83,-,-
599,A570049,kospi,TRUE S&P500 양매도 4% OTM ETN(H),109,-,-
600,A570052,kospi,TRUE 플래티넘 선물 ETN,98,-,-
601,A229200,kospi,KODEX 코스닥 150,4618,-,-
602,A285020,kospi,KBSTAR 200철강소재,21,-,-
603,A550012,kospi,QV 의료 TOP5 ETN,229,-,-
604,A137610,kospi,TIGER 농산물선물Enhanced(H),400,-,-
605,A182490,kospi,TIGER 단기선진하이일드(합성 H),160,-,-
606,A261060,kospi,TIGER 코스닥150IT,108,-,-
607,A276970,kospi,KODEX 미국S&P고배당커버드콜(합성 H),268,-,-
608,A354240,kospi,KBSTAR 미국고정배당우선증권ICE TR,85,-,-
609,A500002,kospi,신한 USD K200 선물 바이셀 ETN,92,-,-
610,A232080,kospi,TIGER 코스닥150,2161,-,-
611,A316670,kospi,KOSEF 코스닥150,281,-,-
612,A377990,kospi,TIGER Fn신재생에너지,109,-,-
613,A135160,,지오씨,257,20151228,-
614,A195930,kospi,TIGER 유로스탁스50(합성 H),618,-,-
615,A304770,kospi,HANARO 코스닥150,361,-,-
616,A354500,kospi,KINDEX 코스닥150,300,-,-
617,A321410,kospi,KODEX 멀티에셋하이인컴(H),42,-,-
618,A257990,,나우코스,333,20201230,-
619,A550014,kospi,QV 바이오 TOP5 ETN,343,-,-
620,A140570,kospi,KBSTAR 수출주,51,-,-
621,A148780,,비플라이소프트,320,20161116,-
622,A315960,kospi,KBSTAR 대형고배당10TR,1024,-,-
623,A256440,kospi,KINDEX 인도네시아MSCI(합성),245,-,-
624,A299670,,에스엠비나,178,20180625,-
625,A332610,kospi,ARIRANG 미국단기우량회사채,219,-,-
626,A117460,kospi,KODEX 에너지화학,225,-,-
627,A371460,kospi,TIGER 차이나전기차SOLACTIVE,7475,-,-
628,A550015,kospi,QV 제약 TOP5 ETN,109,-,-
629,A181480,kospi,KINDEX 미국다우존스리츠(합성 H),85,-,-
630,A307520,kospi,TIGER 지주회사,63,-,-
631,A139240,kospi,TIGER 200 철강소재,178,-,-
632,A238720,kospi,KINDEX 일본Nikkei225(H),137,-,-
633,A269420,kospi,KODEX S&P글로벌인프라(합성),120,-,-
634,A305080,kospi,TIGER 미국채10년선물,473,-,-
635,A283580,kospi,KODEX 중국본토CSI300,1094,-,-
636,A329750,kospi,TIGER 미국달러단기채권액티브,485,-,-
637,A139290,kospi,TIGER 200 경기소비재,65,-,-
638,A227540,kospi,TIGER 200 헬스케어,199,-,-
639,A371150,kospi,KBSTAR 차이나항셍테크,71,-,-
640,A261240,kospi,KODEX 미국달러선물,599,-,-
641,A284990,kospi,KBSTAR 200에너지화학,48,-,-
642,A138230,kospi,KOSEF 미국달러선물,296,-,-
643,A500006,kospi,신한 인버스 금 선물 ETN(H),138,-,-
644,A219900,kospi,KINDEX 중국본토CSI300레버리지(합성),126,-,-
645,A267500,kospi,KBSTAR 미국장기국채선물인버스2X(합성 H),20,-,-
646,A305720,kospi,KODEX 2차전지산업,13397,-,-
647,A168580,kospi,KINDEX 중국본토CSI300,2264,-,-
648,A304670,kospi,KODEX 미국채울트라30년선물인버스(H),48,-,-
649,A381570,kospi,HANARO Fn친환경에너지,79,-,-
650,A308620,kospi,KODEX 미국채10년선물,111,-,-
651,A590018,kospi,미래에셋 중국 심천 100 ETN,368,-,-
652,A091170,kospi,KODEX 은행,2162,-,-
653,A250030,,진코스텍,333,20191129,-
654,A307510,kospi,TIGER 의료기기,90,-,-
655,A117680,kospi,KODEX 철강,206,-,-
656,A244880,,나눔테크,128,20160601,-
657,A520015,kospi,미래에셋 인버스 미디어엔터 Core5 ETN,94,-,-
658,A233160,kospi,TIGER 코스닥150 레버리지,857,-,-
659,A086080,,다이노나,1209,20180508,-
660,A550058,kospi,QV S&P500 VIX S/T 선물 ETN B,80,-,-
661,A305540,kospi,TIGER 2차전지테마,8229,-,-
662,A360150,kospi,KODEX 코스닥150롱코스피200숏선물,118,-,-
663,A367760,kospi,KBSTAR Fn5G테크,1061,-,-
664,A192090,kospi,TIGER 차이나CSI300,2961,-,-
665,A291630,kospi,KOSEF 코스닥150선물레버리지,76,-,-
666,A371470,kospi,TIGER 차이나바이오테크SOLACTIVE,801,-,-
667,A278240,kospi,KBSTAR 코스닥150선물레버리지,1877,-,-
668,A139250,kospi,TIGER 200 에너지화학,390,-,-
669,A233740,kospi,KODEX 코스닥150 레버리지,9946,-,-
670,A139230,kospi,TIGER 200 중공업,304,-,-
671,A248270,kospi,TIGER S&P글로벌헬스케어(합성),155,-,-
672,A300280,kospi,KBSTAR 중소형모멘텀로우볼,32,-,-
673,A309210,kospi,ARIRANG KRX300헬스케어,61,-,-
674,A291130,kospi,KINDEX 멕시코MSCI(합성),72,-,-
675,A225030,kospi,TIGER 미국S&P500선물인버스(H),89,-,-
676,A256750,kospi,KODEX 심천ChiNext(합성),674,-,-
677,A306530,kospi,HANARO 코스닥150선물레버리지,63,-,-
678,A174360,kospi,KBSTAR 중국본토대형주CSI100,701,-,-
679,A102960,kospi,KODEX 기계장비,111,-,-
680,A143860,kospi,TIGER 헬스케어,1377,-,-
681,A266420,kospi,KODEX 헬스케어,211,-,-
682,A176750,,듀켐바이오,842,20141229,-
683,A367770,kospi,KBSTAR Fn수소경제테마,2513,-,-
684,A285010,kospi,KBSTAR 200중공업,41,-,-
685,A242350,,피엔아이컴퍼니,35,20161222,-
686,A500008,kospi,신한 인버스 구리 선물 ETN(H),121,-,-
687,A500058,kospi,신한 S&P500 VIX S/T 선물 ETN C,406,-,-
688,A500045,kospi,신한 S&P500 VIX S/T 선물 ETN B,239,-,-
689,A364970,kospi,TIGER KRX바이오K-뉴딜,773,-,-
690,A253280,kospi,KBSTAR 헬스케어,54,-,-
691,A500035,kospi,신한 레버리지 미국달러 선물 ETN,215,-,-
692,A199150,,데이터스트림즈,381,20140625,-
693,A276240,,엘리비젼,28,20180705,-
694,A550007,kospi,QV 조선 TOP5 ETN,233,-,-
