,code,class,name,market_cap,reg_day,per
0,A309930,kosdaq,오하임아이엔티,650,20181220,365.56
1,A011090,kospi,에넥스,1329,19950708,-
2,A079430,kospi,현대리바트,3748,20051122,14.09
3,A071950,kospi,코아스,365,20050804,-
4,A016800,kospi,퍼시스,3410,19961224,10.01
5,A003800,kosdaq,에이스침대,4674,19960503,9.48
6,A013890,kospi,지누스,11511,20191030,27.44
7,A134790,kospi,시디즈,1256,20110125,7.24
8,A009240,kospi,한샘,27535,20020716,42.31
9,A073190,kosdaq,듀오백,454,20040206,62.21
